submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
12/03/2020,GA,487978,433353.0,54625.0,5839,1466.0,9648,8879.0,769.0,81,32.0,Agree,Agree,Georgia
09/20/2021,NY,1306963,0.0,0.0,2163,0.0,20716,0.0,0.0,21,0.0,Not agree,Not agree,New York
04/14/2020,NM,1407,0.0,0.0,62,0.0,44,0.0,0.0,3,0.0,0,Not agree,New Mexico
10/05/2020,HI,12900,0.0,0.0,81,0.0,157,0.0,0.0,1,0.0,Not agree,Not agree,Hawaii
08/29/2020,ID,31677,29374.0,2303.0,293,7.0,358,324.0,34.0,5,0.0,Agree,Agree,Idaho
04/28/2021,AK,65100,0.0,0.0,184,0.0,341,0.0,0.0,0,0.0,0,0,Alaska
06/29/2021,OR,208446,208446.0,0.0,224,0.0,2770,2770.0,0.0,7,0.0,Agree,Agree,Oregon
02/05/2020,VA,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Virginia
10/01/2020,PA,166146,159611.0,6535.0,1032,89.0,8160,0.0,0.0,18,14.0,Agree,Not agree,Pennsylvania
03/12/2021,DE,91204,86290.0,4914.0,237,26.0,1496,1360.0,136.0,2,0.0,Agree,Agree,Delaware
10/07/2021,VT,32399,0.0,0.0,193,7.0,313,0.0,0.0,4,1.0,Not agree,Not agree,Vermont
06/09/2021,MO,604380,0.0,0.0,687,205.0,9193,0.0,0.0,0,0.0,Not agree,Not agree,Missouri
07/22/2020,UT,36254,35967.0,287.0,606,-3.0,263,263.0,0.0,5,0.0,Agree,Agree,Utah
09/24/2021,GA,1557536,1207024.0,350512.0,4300,1088.0,25478,21991.0,3487.0,140,14.0,Agree,Agree,Georgia
06/12/2020,SC,17200,17200.0,0.0,689,0.0,606,0.0,0.0,3,0.0,Agree,Not agree,South Carolina
08/27/2021,NV,386559,386559.0,0.0,1287,0.0,6433,0.0,0.0,35,0.0,Agree,0,Nevada
12/21/2020,VA,314482,268473.0,46009.0,3593,904.0,4705,4221.0,484.0,51,22.0,Agree,Agree,Virginia
11/19/2020,DE,30963,29681.0,1282.0,644,11.0,742,652.0,90.0,0,0.0,Agree,Agree,Delaware
04/30/2020,MS,8460,8420.0,40.0,247,3.0,580,579.0,1.0,11,0.0,Agree,Agree,Mississippi
03/14/2021,UT,378379,378379.0,0.0,396,0.0,2027,1969.0,58.0,6,0.0,Agree,Agree,Utah
12/13/2020,WV,63217,52826.0,10391.0,1066,260.0,968,0.0,0.0,2,1.0,Agree,Not agree,West Virginia
08/11/2021,GA,1238383,972513.0,265870.0,6958,2612.0,21894,18912.0,2982.0,32,1.0,Agree,Agree,Georgia
07/18/2021,AL,564123,432653.0,131470.0,1032,300.0,11577,9220.0,2357.0,7,1.0,Agree,Agree,Alabama
03/16/2020,MA,197,0.0,0.0,33,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Massachusetts
06/03/2020,AR,8067,0.0,0.0,249,0.0,142,0.0,0.0,6,0.0,Not agree,Not agree,Arkansas
02/19/2020,PA,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Not agree,Pennsylvania
08/09/2020,IL,195380,194080.0,1300.0,1382,0.0,7845,7636.0,209.0,5,0.0,Agree,Agree,Illinois
08/12/2021,NY,1193699,0.0,0.0,2444,0.0,20052,0.0,0.0,13,0.0,Not agree,Not agree,New York
07/06/2020,LA,66327,0.0,0.0,1101,0.0,3296,3188.0,108.0,8,0.0,Not agree,Agree,Louisiana
11/21/2020,NH,17281,0.0,0.0,484,154.0,508,0.0,0.0,1,0.0,Not agree,Not agree,New Hampshire
12/29/2020,WY,43923,37720.0,6203.0,219,122.0,405,405.0,0.0,0,0.0,Agree,Agree,Wyoming
11/17/2020,NH,15303,0.0,0.0,274,79.0,502,0.0,0.0,2,0.0,Not agree,Not agree,New Hampshire
06/20/2021,SD,124405,0.0,0.0,4,0.0,2027,1650.0,377.0,0,0.0,0,Agree,South Dakota
02/08/2020,TX,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Not agree,Not agree,Texas
06/27/2020,KS,13538,13227.0,311.0,0,0.0,264,0.0,0.0,0,0.0,Agree,0,Kansas
11/08/2020,IL,487987,487987.0,0.0,10009,0.0,10538,10196.0,342.0,50,8.0,Agree,Agree,Illinois
01/03/2021,MO,456021,0.0,0.0,2498,723.0,6985,0.0,0.0,47,0.0,Not agree,Not agree,Missouri
04/06/2020,AR,915,0.0,0.0,62,0.0,16,0.0,0.0,0,0.0,Not agree,Not agree,Arkansas
07/30/2021,SD,125322,0.0,0.0,53,7.0,2043,1665.0,378.0,0,0.0,0,Agree,South Dakota
08/20/2020,WY,3468,2940.0,528.0,38,7.0,34,34.0,0.0,0,0.0,Agree,Agree,Wyoming
06/24/2021,NY,1156655,0.0,0.0,169,0.0,19916,0.0,0.0,0,0.0,Not agree,Not agree,New York
01/03/2021,OH,721481,646474.0,75007.0,6808,1146.0,9076,8199.0,877.0,59,14.0,Agree,Agree,Ohio
09/12/2021,IA,423850,0.0,0.0,1341,287.0,6337,0.0,0.0,0,0.0,Not agree,Not agree,Iowa
10/05/2021,ID,263294,209207.0,54087.0,1835,433.0,2993,2532.0,461.0,11,3.0,Agree,Agree,Idaho
06/16/2020,VT,1040,0.0,0.0,3,0.0,54,0.0,0.0,0,0.0,Not agree,Not agree,Vermont
03/16/2021,CA,3696487,3556176.0,140311.0,1767,178.0,60897,60897.0,0.0,62,0.0,Agree,Agree,California
05/08/2021,OH,1082815,908990.0,173825.0,1297,315.0,19428,19428.0,0.0,0,0.0,Agree,Agree,Ohio
05/12/2021,NM,200232,0.0,0.0,195,0.0,4281,0.0,0.0,3,0.0,0,Not agree,New Mexico
08/13/2021,OH,1155322,960618.0,194704.0,2732,628.0,20614,20614.0,0.0,34,0.0,Agree,Agree,Ohio
08/12/2021,IA,388248,0.0,0.0,975,198.0,6210,0.0,0.0,0,0.0,Not agree,Not agree,Iowa
02/14/2020,KY,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Kentucky
09/06/2020,NV,71861,71610.0,251.0,508,0.0,1422,0.0,0.0,1,0.0,Agree,0,Nevada
08/09/2021,AZ,948245,873450.0,74795.0,2191,151.0,18388,16398.0,1990.0,0,0.0,Agree,Agree,Arizona
08/27/2021,MA,753795,703961.0,49834.0,1656,65.0,18219,17847.0,372.0,7,1.0,Agree,Agree,Massachusetts
09/10/2021,WI,753972,678240.0,75732.0,2777,445.0,8613,7740.0,873.0,24,1.0,Agree,Agree,Wisconsin
01/03/2021,FL,1349682,0.0,0.0,11207,3323.0,24018,0.0,0.0,165,21.0,Not agree,Not agree,Florida
08/18/2021,NY,1207588,0.0,0.0,2658,0.0,20111,0.0,0.0,15,0.0,Not agree,Not agree,New York
10/06/2020,NC,225320,218279.0,7041.0,2752,292.0,3971,3920.0,51.0,27,3.0,Agree,Agree,North Carolina
06/16/2021,VT,22772,0.0,0.0,8,2.0,249,0.0,0.0,0,0.0,Not agree,Not agree,Vermont
05/31/2020,OH,35513,33073.0,2440.0,479,45.0,2155,1944.0,211.0,6,0.0,Agree,Agree,Ohio
07/10/2021,NV,338629,338629.0,0.0,557,0.0,5723,0.0,0.0,3,0.0,Agree,0,Nevada
07/09/2020,VA,68931,66095.0,2836.0,943,39.0,1958,1853.0,105.0,21,0.0,Agree,Agree,Virginia
03/01/2020,OK,31,0.0,0.0,3,0.0,0,0.0,0.0,0,0.0,Not agree,Agree,Oklahoma
04/20/2020,KS,1986,0.0,0.0,137,0.0,100,0.0,0.0,8,0.0,Agree,0,Kansas
08/26/2020,AZ,199537,197922.0,1615.0,187,13.0,4896,4640.0,256.0,104,-1.0,Agree,Agree,Arizona
11/28/2020,ID,99660,84737.0,14923.0,1160,159.0,913,843.0,70.0,4,0.0,Agree,Agree,Idaho
09/01/2021,NH,108021,0.0,0.0,332,0.0,1420,0.0,0.0,3,0.0,Not agree,Not agree,New Hampshire
05/02/2021,UT,398012,398012.0,0.0,279,0.0,2204,2139.0,65.0,1,0.0,Agree,Agree,Utah
09/17/2021,MN,681613,0.0,0.0,2635,363.0,8076,7529.0,547.0,12,0.0,0,Agree,Minnesota
10/12/2021,IA,469519,0.0,0.0,2060,711.0,6654,0.0,0.0,0,0.0,Not agree,Not agree,Iowa
10/12/2021,GA,1609681,1246100.0,363581.0,1758,391.0,27335,23512.0,3823.0,52,8.0,Agree,Agree,Georgia
10/15/2020,OR,38525,36805.0,1720.0,365,0.0,611,596.0,15.0,3,0.0,Agree,Agree,Oregon
12/26/2020,UT,264078,264078.0,0.0,3489,0.0,1212,1190.0,22.0,8,0.0,Agree,Agree,Utah
09/05/2020,WV,11289,11093.0,196.0,252,5.0,243,0.0,0.0,0,0.0,Agree,Not agree,West Virginia
07/23/2021,IL,1407929,1407929.0,0.0,1470,0.0,25867,23401.0,2466.0,7,4.0,Agree,Agree,Illinois
