submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
10/18/2020,NJ,227731,0.0,0.0,1455,180.0,16211,14422.0,1789.0,7,0.0,Not agree,Agree,New Jersey
09/07/2020,NJ,198189,0.0,0.0,364,32.0,15991,14208.0,1783.0,2,0.0,Not agree,Agree,New Jersey
04/26/2021,NJ,988886,865700.0,123186.0,0,190.0,25399,22788.0,2611.0,19,0.0,Agree,Agree,New Jersey
04/15/2020,NJ,71030,0.0,0.0,2206,0.0,3156,0.0,0.0,351,0.0,Agree,Agree,New Jersey
03/21/2021,NJ,865886,764990.0,100896.0,3238,655.0,24174,21659.0,2515.0,40,0.0,Agree,Agree,New Jersey
04/13/2021,NJ,959921,842408.0,117513.0,4848,768.0,24945,22372.0,2573.0,49,0.0,Agree,Agree,New Jersey
11/03/2020,NJ,256479,0.0,0.0,2432,604.0,16371,14582.0,1789.0,14,-4.0,Not agree,Agree,New Jersey
12/19/2020,NJ,470652,0.0,0.0,4751,560.0,18173,16265.0,1908.0,49,0.0,Not agree,Agree,New Jersey
04/01/2020,NJ,22255,0.0,0.0,3559,0.0,355,0.0,0.0,88,0.0,Agree,Agree,New Jersey
08/07/2021,NJ,1048053,915267.0,132786.0,1539,117.0,26645,23926.0,2719.0,9,0.0,Agree,Agree,New Jersey
02/20/2021,NJ,764374,680937.0,83437.0,2876,245.0,22834,20545.0,2289.0,50,0.0,Agree,Agree,New Jersey
09/18/2021,NJ,1131319,983947.0,147372.0,2623,607.0,27182,24416.0,2766.0,17,0.0,Agree,Agree,New Jersey
08/21/2021,NJ,1072856,935853.0,137003.0,2158,374.0,26750,24029.0,2721.0,11,0.0,Agree,Agree,New Jersey
11/28/2020,NJ,358572,0.0,0.0,3740,660.0,16965,15136.0,1829.0,23,0.0,Not agree,Agree,New Jersey
01/31/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
02/11/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
02/06/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
01/29/2021,NJ,687269,615202.0,72067.0,5986,1108.0,21383,19254.0,2129.0,82,0.0,Agree,Agree,New Jersey
06/09/2021,NJ,1018491,889408.0,129083.0,184,31.0,26316,23631.0,2685.0,22,7.0,Agree,Agree,New Jersey
10/15/2021,NJ,1178936,1024061.0,154875.0,1383,-20.0,27692,24889.0,2803.0,19,0.0,Agree,Agree,New Jersey
02/10/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
08/08/2021,NJ,1049222,916476.0,132746.0,1169,-40.0,26650,23931.0,2719.0,5,0.0,Agree,Agree,New Jersey
06/03/2021,NJ,1017049,888290.0,128759.0,286,70.0,26247,23569.0,2678.0,0,0.0,Agree,Agree,New Jersey
10/13/2020,NJ,221841,0.0,0.0,1191,203.0,16182,14394.0,1788.0,7,0.0,Not agree,Agree,New Jersey
11/11/2020,NJ,282023,0.0,0.0,3810,745.0,16476,14676.0,1800.0,15,0.0,Not agree,Agree,New Jersey
03/27/2021,NJ,892143,785583.0,106560.0,4662,856.0,24382,21847.0,2535.0,24,0.0,Agree,Agree,New Jersey
10/21/2020,NJ,231746,0.0,0.0,1314,284.0,16245,14456.0,1789.0,18,0.0,Not agree,Agree,New Jersey
09/21/2020,NJ,204711,0.0,0.0,477,85.0,16069,14278.0,1791.0,2,0.0,Not agree,Agree,New Jersey
04/08/2021,NJ,942311,827795.0,114516.0,4332,716.0,24783,22210.0,2573.0,34,0.0,Agree,Agree,New Jersey
06/08/2020,NJ,164988,0.0,0.0,348,15.0,12214,12214.0,0.0,38,0.0,Not agree,Agree,New Jersey
07/28/2021,NJ,1035975,904447.0,131528.0,948,112.0,26589,23870.0,2719.0,3,0.0,Agree,Agree,New Jersey
01/05/2021,NJ,551419,499636.0,51783.0,5328,9.0,19382,17361.0,2021.0,138,0.0,Agree,Agree,New Jersey
10/20/2021,NJ,1184395,1029748.0,154647.0,1106,-20.0,27783,24973.0,2810.0,15,0.0,Agree,Agree,New Jersey
07/09/2021,NJ,1025477,894823.0,130654.0,398,63.0,26496,23787.0,2709.0,3,0.0,Agree,Agree,New Jersey
05/21/2021,NJ,1013409,885291.0,128118.0,652,50.0,26070,23410.0,2660.0,17,0.0,Agree,Agree,New Jersey
08/05/2021,NJ,1045168,912619.0,132549.0,1466,134.0,26629,23910.0,2719.0,4,0.0,Agree,Agree,New Jersey
04/16/2020,NJ,75317,0.0,0.0,4287,0.0,3518,0.0,0.0,362,0.0,Agree,Agree,New Jersey
04/07/2020,NJ,44416,0.0,0.0,3326,0.0,1232,0.0,0.0,229,0.0,Agree,Agree,New Jersey
09/20/2020,NJ,204234,0.0,0.0,497,44.0,16067,14276.0,1791.0,3,0.0,Not agree,Agree,New Jersey
02/09/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
07/11/2020,NJ,176385,0.0,0.0,370,39.0,15525,13578.0,1947.0,46,0.0,Not agree,Agree,New Jersey
06/10/2020,NJ,165870,0.0,0.0,566,16.0,12377,12377.0,0.0,74,0.0,Not agree,Agree,New Jersey
04/02/2020,NJ,25590,0.0,0.0,3335,0.0,537,0.0,0.0,182,0.0,Agree,Agree,New Jersey
07/22/2021,NJ,1031346,900128.0,131218.0,746,82.0,26564,23846.0,2718.0,2,0.0,Agree,Agree,New Jersey
09/25/2020,NJ,206974,0.0,0.0,626,78.0,16097,14306.0,1791.0,6,0.0,Not agree,Agree,New Jersey
09/10/2021,NJ,1113165,969062.0,144103.0,2664,548.0,27039,24290.0,2749.0,15,0.0,Agree,Agree,New Jersey
08/04/2021,NJ,1043702,911287.0,132415.0,1230,126.0,26625,23906.0,2719.0,11,0.0,Agree,Agree,New Jersey
01/26/2021,NJ,671727,602660.0,69067.0,4776,776.0,21105,18984.0,2121.0,133,0.0,Agree,Agree,New Jersey
12/14/2020,NJ,445605,0.0,0.0,5536,738.0,17775,15907.0,1868.0,24,0.0,Not agree,Agree,New Jersey
02/20/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
03/07/2021,NJ,812609,720939.0,91670.0,2519,453.0,23574,21177.0,2397.0,17,0.0,Agree,Agree,New Jersey
04/17/2021,NJ,975704,855759.0,119945.0,3922,493.0,25134,22542.0,2592.0,40,0.0,Agree,Agree,New Jersey
01/14/2021,NJ,609721,549840.0,59881.0,7092,1226.0,20253,18162.0,2091.0,92,0.0,Agree,Agree,New Jersey
03/27/2020,NJ,8825,0.0,0.0,1949,0.0,108,0.0,0.0,27,0.0,Agree,Agree,New Jersey
09/17/2021,NJ,1128696,981931.0,146765.0,2374,350.0,27165,24399.0,2766.0,17,0.0,Agree,Agree,New Jersey
08/06/2020,NJ,186241,0.0,0.0,417,43.0,15849,13996.0,1853.0,7,0.0,Not agree,Agree,New Jersey
01/27/2021,NJ,676537,606492.0,70045.0,4810,978.0,21220,19091.0,2129.0,115,8.0,Agree,Agree,New Jersey
03/31/2021,NJ,908816,799391.0,109425.0,3672,981.0,24561,21993.0,2568.0,75,33.0,Agree,Agree,New Jersey
04/24/2021,NJ,996197,873399.0,122798.0,2783,370.0,25367,22756.0,2611.0,39,0.0,Agree,Agree,New Jersey
10/19/2020,NJ,229169,0.0,0.0,1438,246.0,16214,14425.0,1789.0,3,0.0,Not agree,Agree,New Jersey
09/15/2021,NJ,1123364,977517.0,145847.0,2275,495.0,27122,24356.0,2766.0,21,0.0,Agree,Agree,New Jersey
